id,phenotypeid,lookupkey,function1,function2,activityvalue1,activityvalue2,totalactivityscore,description
4163106,4162423,"{'No function': 1, 'Unknown function': 1}",Unknown function,No function,n/a,n/a,n/a,An individual carryingone no function allele and one unknown function allele
4163151,4162394,{'Unknown function': 2},Unknown function,Unknown function,n/a,n/a,n/a,An individual carrying two unknown function alleles
4163162,4162394,"{'Unknown function': 1, 'Uncertain function': 1}",Unknown function,Uncertain function,n/a,n/a,n/a,An individual carrying one uncertain function allele and one unknown function allele
4163272,4163271,{'Increased function': 2},Increased function,Increased function,n/a,n/a,n/a,An individual carrying two increased function alleles
4163274,4163271,"{'Normal function': 1, 'Increased function': 1}",Increased function,Normal function,n/a,n/a,n/a,An individual carrying one normal function allele and one increased function allele
4163276,4163271,{'Normal function': 2},Normal function,Normal function,n/a,n/a,n/a,An individual carrying two normal function alleles
4163279,4163278,"{'Decreased function': 1, 'Increased function': 1}",Increased function,Decreased function,n/a,n/a,n/a,An individual carrying one increased function allele and one decreased function allele
4163286,4163278,"{'Normal function': 1, 'Decreased function': 1}",Normal function,Decreased function,n/a,n/a,n/a,An individual carrying one normal function allele and one decreased function allele
4163294,4163293,{'Decreased function': 2},Decreased function,Decreased function,n/a,n/a,n/a,An individual carrying two decreased function alleles
4163317,4163316,"{'Unknown function': 1, 'Increased function': 1}",Unknown function,Increased function,n/a,n/a,n/a,An individual carrying one increased function allele and one unknown function allele
4163319,4163316,"{'Normal function': 1, 'Unknown function': 1}",Unknown function,Normal function,n/a,n/a,n/a,An individual carrying one normal function allele and one unknown function allele
4163321,4163316,"{'Unknown function': 1, 'Decreased function': 1}",Unknown function,Decreased function,n/a,n/a,n/a,An individual carrying one decreased function allele and one unknown function allele
4163328,4163316,{'Unknown function': 2},Unknown function,Unknown function,n/a,n/a,n/a,An individual carrying two unknown function alleles
4163331,4163330,{'*31:01 negative': 1},,,,,,
4163334,4163333,{'*31:01 positive': 1},,,,,,
4163337,4163336,{'*15:02 negative': 1},,,,,,
4163340,4163339,{'*15:02 positive': 1},,,,,,
4163343,4163342,{'*57:01 negative': 1},,,,,,
4163346,4163345,{'*57:01 positive': 1},,,,,,
4163349,4163348,{'*58:01 negative': 1},,,,,,
4163352,4163351,{'*58:01 positive': 1},,,,,,
